OCC_NO,OCC_YEAR,OCC_DATE,CLASS_ID,OCC_TYPE,ACC_INC_TYPE,PROVINCE,LOCATION,TERRAIN_TYPE,FACILITY_NAME,FACILITY_TYPE,PIPELINE_CO,PIPELINE_TYPE_CO,PROD_RELEASED_IND,PRODUCT_TYPE,QUANTITY_LOST,DETECTION_METHOD,LOCATION_ON_PIPELINE,ENVIRO_DAMAGE_IND,PROPERTY_DAMAGE_IND,FIRE_IND,EXPLOSION_IND,NO_EVACUATED,FATALITIES,SERIOUS_INJURIES,PRODUCTION_DT
P12H0058,2012,2012-03-19,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,SASKATCHEWAN,REGINA,AGRICULTURAL LAND,MAINLINE,TRANSMISSION LINE,KEYSTONE PIPELINE (TRANSCANADA),LVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,BLOWDOWN RISER PLUG VALVE AT PS17 + 26.4KM,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0059,2012,2012-03-19,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,SASKATCHEWAN,KENDAL,AGRICULTURAL LAND,MAINLINE,TRANSMISSION LINE,KEYSTONE PIPELINE (TRANSCANADA),LVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,UPSTREAM BLOWDOWN RISER PLUG VALVE PS18 + 8.2 KM,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0060,2012,2012-03-19,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,SASKATCHEWAN,KENDAL,AGRICULTURAL LAND,MAINLINE,TRANSMISSION LINE,KEYSTONE PIPELINE (TRANSCANADA),LVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,UPSTREAM BLOWDOWN RISER PLUG VALVE PS18 + 32.8KM,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0061,2012,2012-03-20,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,SASKATCHEWAN,GRENFELL,AGRICULTURAL LAND,MAINLINE,TRANSMISSION LINE,KEYSTONE PIPELINE (TRANSCANADA),LVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,UPSTREAM BLOWDOWN RISER PLUG VALVE PS19 + 26.2KM,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0062,2012,2012-03-20,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,SASKATCHEWAN,WHITEWOOD,AGRICULTURAL LAND,MAINLINE,TRANSMISSION LINE,KEYSTONE PIPELINE (TRANSCANADA),LVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,UPSTREAM BLOWDOWN RISER PLUG VALVE PS20 + 24.7KM,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0063,2012,2012-03-20,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,ALBERTA,HARDISTY,STATION PROPERTY,HARDISTY TERMINAL,TERMINAL,KEYSTONE PIPELINE (TRANSCANADA),LVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,BOOSTER PUMP #3,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0064,2012,2012-03-27,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,SASKATCHEWAN,REGINA,STATION PROPERTY,REGINA PUMP STATION NO. 17,PUMP STATION,KEYSTONE PIPELINE (TRANSCANADA),LVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,FITTING ON A DRAIN LINE VALVE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0065,2012,2012-04-13,5,INCIDENT,METER STATION - UNCONTAINED RELEASE,NEW BRUNSWICK,SAINT JOHN,STATION PROPERTY,BAYSIDE POWER CUSTOMER STATION,METER STATION,MARITIMES AND NORTHEAST PIPELINE,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,CONTROL VALVE PACKING,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0066,2012,2012-04-13,5,INCIDENT,LINE PIPE - DISTURB. OF SUPPORT ENVIRO. NO RELEASE,ONTARIO,TORONTO (S. OF NORTH YORK),RESIDENTIAL,LINE 9,TRANSMISSION LINE,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,NO,N/A,0,RIGHT OF WAY SURVEILLANCE,PIPE BODY MP 1914.88,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0067,2012,2012-03-01,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,SASKATCHEWAN,ALIDA,STATION PROPERTY,ALIDA TERMINAL,TERMINAL,ENBRIDGE PIPELINES (WESTPUR) INC.,LVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,BOOSTER PUMP,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
