OCC_NO,OCC_YEAR,OCC_DATE,CLASS_ID,OCC_TYPE,ACC_INC_TYPE,PROVINCE,LOCATION,TERRAIN_TYPE,FACILITY_NAME,FACILITY_TYPE,PIPELINE_CO,PIPELINE_TYPE_CO,PROD_RELEASED_IND,PRODUCT_TYPE,QUANTITY_LOST,DETECTION_METHOD,LOCATION_ON_PIPELINE,ENVIRO_DAMAGE_IND,PROPERTY_DAMAGE_IND,FIRE_IND,EXPLOSION_IND,NO_EVACUATED,FATALITIES,SERIOUS_INJURIES,PRODUCTION_DT
P04H0001,2004,2004-01-25,5,INCIDENT,GAS PROCESSING PLANT - UNCONTAINED RELEASE,BRITISH COLUMBIA,CHETWYND,STATION PROPERTY,PINE RIVER PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,OTHER,,PIPELINE EMPLOYEE,VALVE ON COOLING BANKS,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0002,2004,2004-01-11,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,ALBERTA,HARDISTY,STATION PROPERTY,HARDISTY PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,NATURAL GAS LIQUIDS,,LEAK DETECTION,MECHANICAL SEAL,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0003,2004,2004-02-17,5,ACCIDENT,GAS PROCESSING PLANT -  FIRE/EXPLOSION,BRITISH COLUMBIA,TAYLOR,STATION PROPERTY,MCMAHON PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,OTHER,,PIPELINE EMPLOYEE,SULPHUR PLANT LOOK BOX ON UNIT E3A,NO,NO,YES,NO,0,0,0,2017-03-15T16:18:52
P04H0004,2004,2004-02-19,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,BRITISH COLUMBIA,FORT NELSON,STATION PROPERTY,BOOSTER STATION 19,COMPRESSOR STATION,WESTCOAST ENERGY (SPECTRA),GAS,YES,CONDENSATE,,PIPELINE EMPLOYEE,PIPING OFF BOOSTER 19,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0005,2004,2004-02-26,5,ACCIDENT,OTHER FACILITY - FIRE/IGNITION/EXPLOSION,BRITISH COLUMBIA,TAYLOR,STATION PROPERTY,PINE RIVER PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,NO,N/A,0,PIPELINE EMPLOYEE,GENERATOR #1403,NO,NO,YES,NO,0,0,0,2017-03-15T16:18:52
P04H0006,2004,2004-03-08,5,INCIDENT,GAS PROCESSING PLANT - OTHER,BRITISH COLUMBIA,FORT NELSON,STATION PROPERTY,FORT NELSON PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,SOUR GAS,,PIPELINE EMPLOYEE,POWER BOILERS,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0007,2004,2004-03-22,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,SASKATCHEWAN,KERROBERT,STATION PROPERTY,KERROBERT PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,NATURAL GAS LIQUIDS,0.013,LEAK DETECTION,SEAL ON UNIT #4,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0008,2004,2004-03-11,5,INCIDENT,LINE PIPE - UNCONTAINED RELEASE,SASKATCHEWAN,REGINA,AGRICULTURAL LAND,"36"" MAINLINE PIPELINE",TRANSMISSION LINE,ALLIANCE PIPELINE,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,MLBV (13-2 VALVE),NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0009,2004,2004-03-19,5,INCIDENT,GAS PROCESSING PLANT - UNCONTAINED RELEASE,BRITISH COLUMBIA,FORT ST. JOHN,STATION PROPERTY,PINE RIVER PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,SOUR GAS,17450,PIPELINE EMPLOYEE,EQUIPMENT FAILURE- FAILED FUSE IN ESD,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0010,2004,2004-03-24,5,INCIDENT,GAS PROCESSING PLANT - UNCONTAINED RELEASE,BRITISH COLUMBIA,FORT ST. JOHN,STATION PROPERTY,PINE RIVER PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,OTHER,5180,PIPELINE EMPLOYEE,LEVEL TRANSMITTER SENSING LINE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0011,2004,2004-04-07,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,ALBERTA,WINDFALL,STATION PROPERTY,WINDFALL COMPRESSOR STATION,COMPRESSOR STATION,ALLIANCE PIPELINE,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,PRESSURE RELIEF VALVE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0012,2004,2004-04-15,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,SASKATCHEWAN,KERROBERT,MARGINAL LAND,CACTUS LAKE PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,2,PIPELINE EMPLOYEE,2 INCH NIPPLE ON 36 INCH MLV,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0013,2004,2004-04-22,5,INCIDENT,LINE PIPE - OTHER,BRITISH COLUMBIA,FORT ST. JOHN,STATION PROPERTY,RIGEL,GATHERING LINE,WESTCOAST ENERGY (SPECTRA),GAS,YES,CONDENSATE,0.15,PIPELINE EMPLOYEE,RECEIVING TRAP SUMP TANK,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0014,2004,2004-05-04,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,BRITISH COLUMBIA,WONOWON,STATION PROPERTY,JEDNEY GAS PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,SOUR GAS,150,PIPELINE EMPLOYEE,WELD FAILURE ON 1 INCH FITTING,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0015,2004,2004-04-21,5,INCIDENT,GAS PROCESSING PLANT - UNCONTAINED RELEASE,BRITISH COLUMBIA,CHETWYND,STATION PROPERTY,PINE RIVER PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,SOUR GAS,,SCADA,PIPELINE CONTROL SYSTEM,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0016,2004,2004-05-03,5,INCIDENT,LINE PIPE - OTHER,BRITISH COLUMBIA,PRINCE GEORGE,BODY OF WATER,MAINLINE,TRANSMISSION LINE,WESTCOAST ENERGY (SPECTRA),GAS,NO,N/A,0,PIPELINE EMPLOYEE,BANK EROSION NEAR PIPELINE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0017,2004,2004-04-24,5,INCIDENT,LINE PIPE - OTHER,ONTARIO,FLAMBOROUGH,AGRICULTURAL LAND,LINE 7,TRANSMISSION LINE,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,NO,N/A,0,PIPELINE EMPLOYEE,UNAUTHORIZED ACTIVITY NEAR PIPELINE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0018,2004,2004-05-17,5,ACCIDENT,GAS PROCESSING PLANT -  FIRE/EXPLOSION,BRITISH COLUMBIA,TAYLOR,STATION PROPERTY,TAYLOR GAS PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,NO,N/A,0,PIPELINE EMPLOYEE,FIRE ADJACENT TO FLARE PIT,NO,NO,YES,NO,0,0,0,2017-03-15T16:18:52
P04H0019,2004,2004-05-31,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,ALBERTA,EDMONTON,STATION PROPERTY,EDMONTON TERMINAL,TERMINAL,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,6,PIPELINE EMPLOYEE,SEAL FAILURE ON BOOSTER PUMP #30,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0020,2004,2004-05-29,5,ACCIDENT,GAS PROCESSING PLANT - OTHER DAMAGE WITH RELEASE,BRITISH COLUMBIA,CHETWYND,STATION PROPERTY,PINE RIVER PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,OTHER,,PIPELINE EMPLOYEE,RUPTURED FLOOR ON BOTTOM OF TANK,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0021,2004,2004-06-15,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,ALBERTA,WINDFALL,STATION PROPERTY,WINDFALL COMPRESSOR STATION,COMPRESSOR STATION,ALLIANCE PIPELINE,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,LOGISTIC SYSTEM ON UNIT #2,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0022,2004,2004-06-20,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,BRITISH COLUMBIA,CHETWYND,STATION PROPERTY,PINE RIVER PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,ACID GAS,571000,PIPELINE EMPLOYEE,FLARING EVENTS,YES,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0023,2004,2004-06-21,5,INCIDENT,GAS PROCESSING PLANT - UNCONTAINED RELEASE,BRITISH COLUMBIA,CHETWYND,STATION PROPERTY,PINE RIVER PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,OTHER,1,PIPELINE EMPLOYEE,"""B"" PROCESS TRAIN",NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0024,2004,2004-06-28,5,INCIDENT,GAS PROCESSING PLANT - UNCONTAINED RELEASE,BRITISH COLUMBIA,CHETWYND,STATION PROPERTY,PINE RIVER PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,ACID GAS,9039,PIPELINE EMPLOYEE,ACID GAS FLOW TRANSMITTER,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0025,2004,2004-06-29,5,INCIDENT,LINE PIPE - UNCONTAINED RELEASE,QUEBEC,BOUCHERVILLE,AGRICULTURAL LAND,"24""",TRANSMISSION LINE,MONTREAL PIPELINE LTD.,LVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,VALVE PACKING,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0026,2004,2004-07-10,5,ACCIDENT,COMPRESSOR STATION - FIRE/EXPLOSION,BRITISH COLUMBIA,FORT ST. JOHN,STATION PROPERTY,BOOSTER STATION 18,COMPRESSOR STATION,WESTCOAST ENERGY (SPECTRA),GAS,NO,N/A,0,PIPELINE EMPLOYEE,VENT STACK,NO,NO,YES,NO,0,0,0,2017-03-15T16:18:52
P04H0027,2004,2004-07-14,5,INCIDENT,LINE PIPE - UNCONTAINED RELEASE,NORTHWEST TERRITORIES,FORT SIMPSON,MARGINAL LAND,MAINLINE,TRANSMISSION LINE,ENBRIDGE PIPELINES (NW) LTD.(FORMERLY IPL(NW) LTD),LVP,YES,PETROLEUM CRUDE OIL,2,RIGHT OF WAY SURVEILLANCE,MANUAL VALVE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0028,2004,2004-05-18,5,INCIDENT,METER STATION - UNCONTAINED RELEASE,SASKATCHEWAN,KERROBERT,STATION PROPERTY,KERROBERT PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,VALVE/SEAL,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0029,2004,2004-05-25,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,ONTARIO,SARNIA,STATION PROPERTY,SARNIA TERMINAL,TERMINAL,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,CONDENSATE,1,PIPELINE EMPLOYEE,FLOATING ROOF ON TANK 212,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0030,2004,2004-06-08,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,SASKATCHEWAN,KERROBERT,STATION PROPERTY,KERROBERT PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,MAINLINE FITTING ON SENDING TRAP,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0031,2004,2004-07-15,5,INCIDENT,GAS PROCESSING PLANT - OTHER,BRITISH COLUMBIA,FORT NELSON,STATION PROPERTY,FORT NELSON PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,NO,N/A,0,PIPELINE EMPLOYEE,#9 TURBINE/GENERATOR,NO,YES,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0032,2004,2004-08-03,5,INCIDENT,LINE PIPE - UNCONTAINED RELEASE,BRITISH COLUMBIA,TUMBLER RIDGE,MARGINAL LAND,"24 "" GRIZZLY (SOUR)",GATHERING LINE,WESTCOAST ENERGY (SPECTRA),GAS,YES,SOUR GAS,,PIPELINE EMPLOYEE,16 INCH SOUTH GRIZZLY PIPELINE SOUR,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0033,2004,2004-07-21,5,INCIDENT,LINE PIPE - UNCONTAINED RELEASE,SASKATCHEWAN,PELLY,AGRICULTURAL LAND,NOT SPECIFIED,NOT SPECIFIED,MANY ISLANDS PIPE LINE (CANADA) LTD.,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,PIPE BODY,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0034,2004,2004-08-09,5,INCIDENT,LINE PIPE - UNCONTAINED RELEASE,BRITISH COLUMBIA,FORT NELSON,AGRICULTURAL LAND,"10"" S.E. HELMET EXTENSION",GATHERING LINE,WESTCOAST ENERGY (SPECTRA),GAS,YES,SOUR GAS,,PIPELINE EMPLOYEE,KM 11.845,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0035,2004,2004-08-30,5,INCIDENT,LINE PIPE - UNCONTAINED RELEASE,BRITISH COLUMBIA,FORT NELSON,MARGINAL LAND,"8"" DUKE/PEGGO",GATHERING LINE,WESTCOAST ENERGY (SPECTRA),GAS,YES,SOUR GAS,,PIPELINE EMPLOYEE,"8"" PEGGO TIE TO 16"" PESH LOOP",NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0036,2004,2004-09-22,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,BRITISH COLUMBIA,ELKO,STATION PROPERTY,"STATION 2A, ELKO",COMPRESSOR STATION,TRANSCANADA PIPELINES LTD. - BC SYSTEM,GAS,YES,NATURAL GAS,,LEAK DETECTION,SHUT OFF VALVE ON CATALYTIC HEATER,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0037,2004,2004-08-05,5,INCIDENT,LINE PIPE - 3RD PARTY DAMAGE NO RELEASE,ONTARIO,MALLORYTOWN,AGRICULTURAL LAND,MAINLINE,TRANSMISSION LINE,TRANS-NORTHERN PIPELINES INC.,LVP,NO,N/A,0,PIPELINE EMPLOYEE,PIPELINE DAMAGE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0038,2004,2004-08-19,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,MANITOBA,SOURIS,STATION PROPERTY,SOURIS PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,SEAL ON DENSITOMETER LINE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0039,2004,2004-09-11,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,BRITISH COLUMBIA,CHETWYND,STATION PROPERTY,PINE RIVER PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,OTHER,5,PIPELINE EMPLOYEE,GLYCOL JUMPER LINE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0040,2004,2004-09-13,5,INCIDENT,LINE PIPE - UNCONTAINED RELEASE,BRITISH COLUMBIA,CHETWYND,STATION PROPERTY,PINE RIVER PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,SOUR GAS,,PIPELINE EMPLOYEE,PINHOLE LEAK ON 42 INCH SWITCHING LINE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0041,2004,2004-10-08,5,INCIDENT,GAS PROCESSING PLANT - UNCONTAINED RELEASE,BRITISH COLUMBIA,TAYLOR,STATION PROPERTY,MCMAHON PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,A&D STRIPPER PSV LEAK,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0042,2004,2004-09-21,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,BRITISH COLUMBIA,CHETWYND,STATION PROPERTY,KWOEN GAS PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,OTHER,2250,PIPELINE EMPLOYEE,LINE COMPRESSOR ELECTRICALLY TRIPPED,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0043,2004,2004-10-02,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,BRITISH COLUMBIA,CHETWYND,STATION PROPERTY,KWOEN GAS PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,OTHER,1100,PIPELINE EMPLOYEE,COMPRESSOR K420 SHUT DOWN,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0044,2004,2004-10-01,5,INCIDENT,LINE PIPE - UNCONTAINED RELEASE,ONTARIO,UPSALA,MARGINAL LAND,LINE 100-1,TRANSMISSION LINE,TRANSCANADA PIPELINES LTD.,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,PIPE NIPPLE NPS-1,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0045,2004,2004-10-13,5,INCIDENT,GAS PROCESSING PLANT - UNCONTAINED RELEASE,BRITISH COLUMBIA,TAYLOR,STATION PROPERTY,KWOEN GAS PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,OTHER,2200,PIPELINE EMPLOYEE,TRIPPED COMPRESSOR AND CO2 FLARED OFF,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0046,2004,2004-10-07,5,ACCIDENT,OTHER FACILITY - FIRE/IGNITION/EXPLOSION,BRITISH COLUMBIA,FORT NELSON,STATION PROPERTY,PETITOT,GATHERING LINE,WESTCOAST ENERGY (SPECTRA),GAS,NO,N/A,0,PIPELINE EMPLOYEE,FIRE AT FLARE PIT AT GOTE SENDING BARREL,NO,NO,YES,NO,0,0,0,2017-03-15T16:18:52
P04H0047,2004,2004-08-11,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,SASKATCHEWAN,CABRI,STATION PROPERTY,LINE 100-2,TRANSMISSION LINE,TRANSCANADA PIPELINES LTD.,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,100-2 DISCHARGE VALVE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0048,2004,2004-10-18,5,INCIDENT,LINE PIPE - OTHER,BRITISH COLUMBIA,CHETWYND,STATION PROPERTY,PINE RIVER PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,OTHER,4,PIPELINE EMPLOYEE,VALVE ON HEAT TRACING SUPPLY LINE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0049,2004,2004-10-22,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,BRITISH COLUMBIA,TAYLOR,STATION PROPERTY,KWOEN GAS PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,OTHER,1600,PIPELINE EMPLOYEE,TRIPPED COMPRESSOR,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0050,2004,2004-10-27,5,ACCIDENT,COMPRESSOR STATION - FIRE/EXPLOSION,BRITISH COLUMBIA,CHETWYND,STATION PROPERTY,PINE RIVER PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,OTHER,,PIPELINE EMPLOYEE,PIPE PATCH ON TAIL GAS PIPING,NO,NO,YES,NO,0,0,0,2017-03-15T16:18:52
P04H0051,2004,2004-10-26,5,INCIDENT,GAS PROCESSING PLANT - UNCONTAINED RELEASE,BRITISH COLUMBIA,CHETWYND,STATION PROPERTY,PINE RIVER PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,OTHER,,PIPELINE EMPLOYEE,VALVE SEIZED IN CLOSED POSITION,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0052,2004,2004-11-04,5,INCIDENT,GAS PROCESSING PLANT - UNCONTAINED RELEASE,BRITISH COLUMBIA,TAYLOR,STATION PROPERTY,KWOEN GAS PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,OTHER,1000,PIPELINE EMPLOYEE,POWER FAILURE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0053,2004,2004-11-10,5,INCIDENT,LINE PIPE - OTHER,MANITOBA,GLENBORO,AGRICULTURAL LAND,LINE 4,TRANSMISSION LINE,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,NO,N/A,0,SCADA,LINE OVERPRESSURE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0054,2004,2004-10-15,5,INCIDENT,LINE PIPE - UNCONTAINED RELEASE,ONTARIO,THUNDER BAY,AGRICULTURAL LAND,LINE 100-1,TRANSMISSION LINE,TRANSCANADA PIPELINES LTD.,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,NPS-1 THREADED PIPE NIPPLE LEAK,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0055,2004,2004-11-21,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,BRITISH COLUMBIA,KOBES,STATION PROPERTY,ALASKA HIGHWAY,GATHERING LINE,WESTCOAST ENERGY (SPECTRA),GAS,YES,SOUR GAS,,PIPELINE EMPLOYEE,CRACKED COUPLER ON 1 INCH BALL VALVE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0056,2004,2004-11-24,5,INCIDENT,LINE PIPE - OTHER,MANITOBA,GLENBORO,MARGINAL LAND,LINE 13,TRANSMISSION LINE,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,NO,N/A,0,SCADA,LINE #13 OVERPRESSURE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0057,2004,2004-11-15,5,INCIDENT,LINE PIPE - UNCONTAINED RELEASE,ONTARIO,MARTIN,AGRICULTURAL LAND,LINE 100-3,TRANSMISSION LINE,TRANSCANADA PIPELINES LTD.,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,NPS 1/2 VENT ON MLV 60-3,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0058,2004,2004-12-03,5,INCIDENT,LINE PIPE - OTHER,BRITISH COLUMBIA,KOBES,STATION PROPERTY,ALASKA HIGHWAY,GATHERING LINE,WESTCOAST ENERGY (SPECTRA),GAS,YES,SOUR GAS,,PIPELINE EMPLOYEE,1 INCH NIPPLE ON PIGGING BARREL,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0059,2004,2004-12-06,5,INCIDENT,LINE PIPE - UNCONTAINED RELEASE,BRITISH COLUMBIA,FORT ST. JOHN,AGRICULTURAL LAND,"16"" SILVER DAHL",GATHERING LINE,WESTCOAST ENERGY (SPECTRA),GAS,YES,NATURAL GAS,,OUTSIDE PARTY,16 INCH SILVER DAHL PIPELINE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0060,2004,2004-12-07,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,ALBERTA,WINDFALL,STATION PROPERTY,WINDFALL COMPRESSOR STATION,COMPRESSOR STATION,ALLIANCE PIPELINE,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,UNIT 2 COOLER VENT VALVE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0061,2004,2004-12-04,5,INCIDENT,LINE PIPE - UNCONTAINED RELEASE,QUEBEC,BEAUHARNOIS,AGRICULTURAL LAND,LINE 700-2,TRANSMISSION LINE,TRANSCANADA PIPELINES LTD.,GAS,YES,NATURAL GAS,,OUTSIDE PARTY,VENT TRIGGER END OF STROKE VALVE 707-2,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0062,2004,2004-12-28,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,SASKATCHEWAN,ODESSA,STATION PROPERTY,ODESSA PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,5,PIPELINE EMPLOYEE,FROZEN SUMP FLOAT SWITCH,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0063,2004,2004-12-08,5,INCIDENT,METER STATION - OTHER,BRITISH COLUMBIA,KAMLOOPS,STATION PROPERTY,KAMLOOPS PUMP STATION,PUMP STATION,TRANS MOUNTAIN PIPELINE (KINDER MORGAN),LVP/HVP,NO,N/A,0,PIPELINE EMPLOYEE,SHUTDOWN,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0064,2004,2004-12-21,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,BRITISH COLUMBIA,BURNABY,STATION PROPERTY,BURNABY TERMINAL,TERMINAL,TRANS MOUNTAIN PIPELINE (KINDER MORGAN),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,TANK #72,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0065,2004,2004-11-13,5,INCIDENT,PUMP STATION - OTHER,QUEBEC,MONTRAL,STATION PROPERTY,MONTREAL TERMINAL,TERMINAL,TRANS-NORTHERN PIPELINES INC.,LVP,NO,N/A,0,SCADA,CAPACITOR,NO,YES,NO,YES,0,0,0,2017-03-15T16:18:52
P04H0066,2004,2004-10-01,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,MANITOBA,GRETNA,STATION PROPERTY,GRETNA PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,BLEED VALVE-LINE 3,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P04H0067,2004,2004-10-01,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,ONTARIO,WESTOVER,STATION PROPERTY,WESTOVER PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,SEAL LEAK ON A UNIT VALVE-LINE 10,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
